ticker,country,cantidad,name,market
LOG.MC,ES,467,Logista,BME
CABK.MC,ES,342,Caixabank,BME
SAN.MC,ES,353,Banco Santander,BME
IBE.MC,ES,250,Iberdrola,BME
ITX.MC,ES,228,Inditex,BME
ACS.MC,ES,394,ACS,BME
RED.MC,ES,292,RDE,BME
AMS.MC,ES,85,Amadeus,BME
MCM.MC,ES,408,Miquel y Costas,BME
CIE.MC,ES,550,CIE Automotive,BME
VID.MC,ES,140,Vidrala,BME
TEF.MC,ES,851,Telefónica,BME
META,US,18,Meta Platforms,NASDAQ
MMM,US,63,3M,NYSE
JNJ,US,87,Johnson & Johnson,NYSE
SPG,US,100,Simon Property Group,NYSE
NEE,US,152,NextEra Energy,NYSE
BAM,US,115,BAM,NYSE
BN,US,233,BN,NYSE
AMT,US,41,AMT,NYSE
VZ,US,230,Verizon,NYSE
MSFT,US,20,Microsoft,NASDAQ
TROW,US,100,T Rowe Price,NASDAQ
MO,US,180,Altria,NYSE
BX,US,80,Blackstone,NYSE
BXMT,US,310,BXMT,NYSE
CVS,US,135,CVS Health,NYSE
O,US,200,Realty Income,NYSE
HSY,US,80,Hershey,NYSE
PBR-A,BR,1000,PETROBRAS,NYSE
BABA,US,34,Alibaba,NYSE
MC,FR,23,LVMH,EPA
RMS.PA,FR,3,HERMES,EPA
BATS.L,GB,330,BATS,LON
DGE.L,GB,545,Diageo,LON
BRBY.L,GB,870,Burberry,LON
ASTS,US,200,ASTS,NASDAQ
FTNT,US,105,Fortinet,NASDAQ
EVO.ST,SE,35,Evolution AB,STO

